X,Y
0.00000,7055.000
0.07206,7995.701
0.14413,8644.210
0.21619,9200.249
0.28825,9583.662
0.36032,10127.048
0.43238,10817.487
0.50444,11250.636
0.57651,11313.514
0.64857,11079.020
0.72063,11116.634
0.79270,11368.731
0.86476,11490.961
0.93683,11310.676
1.00889,11200.720
1.08095,10950.809
1.15302,10661.965
1.22508,10470.799
1.29714,10325.210
1.36921,10075.916
1.44127,9889.028
1.51333,9695.432
1.58540,9535.969
1.65746,9456.910
1.72952,9309.498
1.80159,9240.383
1.87365,9306.897
1.94571,9403.400
2.01778,9456.120
2.08984,9517.640
2.16190,9844.200
2.23397,10218.600
2.30603,10407.120
2.37810,10484.800
2.45016,10404.040
2.52222,10136.960
2.59429,9703.120
2.66635,9416.000
2.73841,9329.600
2.81048,9184.880
