X,Y
0.00000,2252.000
0.07206,2658.041
0.14413,3009.975
0.21619,3276.221
0.28825,3632.238
0.36032,3836.447
0.43238,4091.471
0.50444,4211.598
0.57651,4439.926
0.64857,4607.864
0.72063,4790.564
0.79270,4919.728
0.86476,5256.096
0.93683,5581.329
1.00889,5870.320
1.08095,6086.685
1.15302,6218.458
1.22508,6251.313
1.29714,6528.780
1.36921,6731.208
1.44127,6535.893
1.51333,6419.515
1.58540,6290.254
1.65746,6071.396
1.72952,5831.696
1.80159,5652.292
1.87365,5494.830
1.94571,5219.164
2.01778,5119.165
2.08984,5080.228
2.16190,4908.268
2.23397,4926.393
2.30603,4738.294
2.37810,4575.834
2.45016,4406.720
2.52222,4178.866
2.59429,4025.865
2.66635,3899.138
2.73841,3718.143
2.81048,3653.597
2.88254,3700.444
2.95460,3761.072
3.02667,3756.710
3.09873,3787.820
3.17079,3844.023
3.24286,3813.377
3.31492,3864.502
3.38698,3925.805
3.45905,4002.064
3.53111,3975.251
3.60317,3991.033
3.67524,3976.781
3.74730,3989.507
3.81937,3959.290
3.89143,3900.784
3.96349,3802.870
4.03556,3958.962
4.10762,3940.966
4.17968,4065.769
4.25175,3787.461
4.32381,3443.011
4.39587,3004.942
