X,Y
0.00000,4396.000
0.07206,4991.768
0.14413,5535.283
0.21619,6109.702
0.28825,6471.006
0.36032,6783.387
0.43238,6948.146
0.50444,7016.002
0.57651,7141.281
0.64857,7210.436
0.72063,7248.622
0.79270,7377.476
0.86476,7401.520
0.93683,7624.207
1.00889,7769.431
1.08095,7825.816
1.15302,7979.659
1.22508,8230.800
1.29714,8590.432
1.36921,8757.922
1.44127,9028.191
1.51333,9296.766
1.58540,9583.498
1.65746,9885.766
1.72952,10369.646
1.80159,10593.045
1.87365,10709.880
1.94571,10634.134
2.01778,10635.162
2.08984,10688.852
2.16190,11125.547
2.23397,11147.159
2.30603,11336.463
2.37810,10717.374
2.45016,10289.370
2.52222,9616.996
2.59429,8809.721
2.66635,8241.802
2.73841,7944.079
2.81048,7990.940
2.88254,7997.117
2.95460,8244.435
3.02667,8377.139
3.09873,8660.120
3.17079,8688.434
3.24286,8972.742
3.31492,9191.893
3.38698,9614.228
3.45905,9774.228
3.53111,9791.488
3.60317,9669.417
3.67524,9606.988
3.74730,9616.737
3.81937,9496.042
3.89143,9384.889
3.96349,9294.614
4.03556,9231.876
4.10762,9331.223
4.17968,9312.183
4.25175,9158.121
4.32381,8992.753
4.39587,8371.954
4.46794,7934.785
4.54000,7598.581
4.61206,7282.018
4.68413,7217.518
4.75619,7214.475
4.82825,7181.243
4.90032,7114.787
4.97238,7060.437
5.04444,6925.156
5.11651,6692.063
5.18857,6351.218
5.26063,5915.709
5.33270,5312.161
5.40476,4545.418
5.47683,3947.163
