X,Y
0.00000,4881.000
0.07206,5578.000
0.14413,6228.000
0.21619,6549.000
0.28825,6712.000
0.36032,6786.000
0.43238,7079.000
0.50444,7254.000
0.57651,7204.000
0.64857,7579.000
0.72063,7462.000
0.79270,7914.000
0.86476,8227.000
0.93683,8615.000
1.00889,8933.000
1.08095,9246.000
1.15302,9294.000
1.22508,9359.461
1.29714,9569.653
1.36921,9650.959
1.44127,9832.963
1.51333,9596.552
1.58540,9456.376
1.65746,8952.579
1.72952,8716.221
1.80159,8668.830
1.87365,8627.607
1.94571,8584.623
2.01778,8279.365
2.08984,8172.348
2.16190,8244.803
2.23397,8301.244
2.30603,8119.545
2.37810,7700.046
2.45016,7194.392
2.52222,6729.400
2.59429,6360.397
2.66635,6329.408
2.73841,6517.660
2.81048,6698.799
2.88254,6824.771
2.95460,7015.680
3.02667,7085.992
3.09873,6899.885
3.17079,7095.054
3.24286,7103.738
3.31492,7211.372
3.38698,7358.766
3.45905,7203.099
3.53111,7197.982
3.60317,7055.221
3.67524,6830.653
3.74730,6384.541
3.81937,5845.242
3.89143,5130.006
3.96349,4084.396
4.03556,3216.903
