X,Y
0.00000,2340.000
0.07206,2822.861
0.14413,3277.223
0.21619,3727.585
0.28825,4262.117
0.36032,4722.188
0.43238,5289.262
0.50444,5627.363
0.57651,5889.377
0.64857,6185.168
0.72063,6259.410
0.79270,6351.636
0.86476,6638.247
0.93683,7037.116
1.00889,7239.056
1.08095,7285.780
1.15302,7012.819
1.22508,6764.451
1.29714,6271.648
1.36921,6157.542
1.44127,5529.270
1.51333,5113.255
1.58540,4687.960
1.65746,4583.278
1.72952,4163.301
1.80159,3844.102
1.87365,3568.594
1.94571,3334.870
2.01778,3203.077
2.08984,2809.850
2.16190,2501.166
