X,Y
0.00000,5058.000
0.07206,5098.080
0.14413,5267.000
0.21619,5221.640
0.28825,5259.680
0.36032,5506.000
0.43238,5736.560
0.50444,5927.320
0.57651,6111.120
0.64857,6101.880
0.72063,6132.000
0.79270,5921.000
0.86476,5952.720
0.93683,6122.480
1.00889,6134.040
1.08095,6333.000
1.15302,6407.920
1.22508,6504.800
1.29714,6313.760
1.36921,6482.560
1.44127,6456.000
1.51333,6783.756
1.58540,6865.386
1.65746,7238.431
1.72952,7411.367
1.80159,7339.259
1.87365,7441.794
1.94571,7273.305
2.01778,7243.419
2.08984,7175.728
2.16190,7043.046
2.23397,7215.892
2.30603,7114.151
2.37810,7110.769
2.45016,6975.486
2.52222,6912.910
2.59429,6894.849
2.66635,6582.718
2.73841,6264.992
2.81048,6004.010
2.88254,5759.183
2.95460,5871.532
3.02667,5948.049
3.09873,6104.515
3.17079,5884.422
