X,Y
0.00000,3132.000
0.07206,3533.639
0.14413,3921.972
0.21619,4256.769
0.28825,4556.427
0.36032,4925.873
0.43238,5295.788
0.50444,5612.354
0.57651,5866.025
0.64857,6113.619
0.72063,6050.350
0.79270,5978.324
0.86476,6028.983
0.93683,5872.670
1.00889,5943.556
1.08095,6404.498
1.15302,6358.150
1.22508,6628.479
1.29714,6684.453
1.36921,6709.723
1.44127,6671.549
1.51333,6627.198
1.58540,6093.676
1.65746,5954.792
1.72952,5828.480
1.80159,5614.320
1.87365,5496.401
1.94571,5464.268
2.01778,5488.439
2.08984,5454.694
2.16190,5463.216
2.23397,5280.583
2.30603,5026.677
2.37810,4731.121
2.45016,4501.121
2.52222,4336.463
2.59429,3863.803
