X,Y
0.00000,5029.000
0.07206,5136.000
0.14413,5486.000
0.21619,5946.000
0.28825,5883.000
0.36032,6336.000
0.43238,6348.000
0.50444,6441.000
0.57651,7040.000
0.64857,6819.000
0.72063,7110.000
0.79270,7402.000
0.86476,7304.000
0.93683,7690.000
1.00889,7488.000
1.08095,7781.000
1.15302,7712.000
1.22508,8050.000
1.29714,7865.000
1.36921,8181.875
1.44127,8548.058
1.51333,8862.760
1.58540,9070.234
1.65746,9035.173
1.72952,9080.429
1.80159,8957.562
1.87365,8923.949
1.94571,8898.274
2.01778,8886.586
2.08984,8735.530
2.16190,8577.518
2.23397,8423.019
2.30603,7977.878
2.37810,7560.062
2.45016,7290.876
2.52222,7075.054
2.59429,7146.228
2.66635,7333.881
2.73841,7580.031
2.81048,8007.186
2.88254,7914.767
2.95460,7768.001
3.02667,7593.925
3.09873,7679.232
3.17079,7690.863
3.24286,7608.619
3.31492,7326.874
3.38698,7199.180
3.45905,6893.248
3.53111,6737.888
3.60317,7083.260
3.67524,7298.760
3.74730,7326.360
3.81937,7347.330
3.89143,7452.690
3.96349,7505.070
4.03556,7765.600
4.10762,8149.740
4.17968,8516.760
4.25175,8637.040
4.32381,8528.980
4.39587,8139.780
4.46794,7069.900
4.54000,6077.270
4.61206,5614.710
