X,Y
0.00000,2960.000
0.07206,3000.688
0.14413,3165.549
0.21619,3268.997
0.28825,3288.719
0.36032,3228.922
0.43238,3260.663
0.50444,3334.230
0.57651,3456.145
0.64857,3533.443
0.72063,3749.199
0.79270,3804.271
0.86476,4077.238
0.93683,3982.965
1.00889,4023.025
1.08095,4020.415
1.15302,4077.227
1.22508,4061.202
1.29714,4109.147
1.36921,4085.881
1.44127,4082.892
1.51333,4255.989
1.58540,4385.747
1.65746,4398.270
1.72952,4283.782
1.80159,4236.474
1.87365,4211.772
1.94571,4119.950
2.01778,4168.616
2.08984,4204.558
2.16190,4087.423
2.23397,4200.647
2.30603,4305.081
2.37810,4343.469
2.45016,4425.738
2.52222,4294.819
2.59429,4235.173
2.66635,4160.823
2.73841,4252.331
2.81048,4277.069
2.88254,4456.165
2.95460,4512.826
3.02667,4570.134
3.09873,4547.837
3.17079,4473.290
3.24286,4128.735
3.31492,3810.752
3.38698,3319.201
