X,Y
0.00000,5416.000
0.07206,5734.770
0.14413,6287.642
0.21619,6987.038
0.28825,7541.661
0.36032,7874.369
0.43238,8052.081
0.50444,8266.079
0.57651,8274.979
0.64857,8358.180
0.72063,8481.942
0.79270,8512.078
0.86476,8511.140
0.93683,8648.261
1.00889,8666.510
1.08095,8585.890
1.15302,8892.657
1.22508,8920.244
1.29714,8660.531
1.36921,8436.983
1.44127,8690.519
1.51333,8826.939
1.58540,8909.167
1.65746,8949.115
1.72952,8928.218
1.80159,9191.023
1.87365,9280.108
1.94571,9331.896
2.01778,9462.029
2.08984,9562.603
2.16190,9353.631
2.23397,9499.168
2.30603,9600.576
2.37810,9534.824
2.45016,9568.455
2.52222,9513.916
2.59429,9461.717
2.66635,9469.742
2.73841,9158.077
2.81048,9206.254
2.88254,9459.854
2.95460,9684.392
3.02667,9875.695
3.09873,9656.187
3.17079,9536.529
3.24286,9252.848
3.31492,9200.237
3.38698,9316.531
3.45905,9157.237
3.53111,9370.713
3.60317,9331.573
3.67524,9342.906
3.74730,9140.823
3.81937,8813.797
3.89143,8621.724
3.96349,8191.622
4.03556,8433.257
4.10762,7979.352
4.17968,8099.820
4.25175,8051.446
4.32381,8089.474
4.39587,8129.671
4.46794,8072.116
4.54000,8129.678
4.61206,8252.384
4.68413,8469.103
4.75619,8673.687
4.82825,8689.154
4.90032,8718.661
4.97238,8800.004
5.04444,8744.932
5.11651,8577.595
5.18857,8594.945
5.26063,8332.936
5.33270,8150.015
5.40476,8147.504
5.47683,8082.136
5.54889,8028.079
5.62095,7941.926
5.69302,7779.407
5.76508,7616.239
5.83714,7686.769
5.90921,7622.037
5.98127,7383.658
6.05333,7386.156
6.12540,7075.152
6.19746,7215.074
6.26952,7095.104
6.34159,6793.589
6.41365,6635.665
6.48571,6653.080
6.55778,6603.729
6.62984,6667.440
6.70190,6562.380
6.77397,6374.089
6.84603,6366.772
6.91810,5971.306
6.99016,5589.500
