X,Y
0.00000,3195.000
0.07206,3327.950
0.14413,3645.175
0.21619,3787.330
0.28825,4239.646
0.36032,4521.906
0.43238,4848.700
0.50444,5190.002
0.57651,5432.150
0.64857,5308.652
0.72063,5118.737
0.79270,4883.259
0.86476,4776.620
0.93683,4644.138
1.00889,4703.281
1.08095,4880.850
1.15302,4788.533
1.22508,5088.600
1.29714,5847.600
1.36921,6609.000
1.44127,6988.400
1.51333,7222.600
1.58540,7198.600
1.65746,6773.600
1.72952,6185.333
1.80159,5855.221
1.87365,5815.203
1.94571,6057.373
2.01778,6301.915
2.08984,6323.113
2.16190,6204.452
2.23397,6096.094
2.30603,5545.905
2.37810,5123.757
2.45016,4738.530
2.52222,4330.967
2.59429,3942.474
