X,Y
0.00000,3024.000
0.07206,3370.257
0.14413,4062.055
0.21619,4449.625
0.28825,5028.845
0.36032,5535.337
0.43238,5776.320
0.50444,5752.214
0.57651,5969.770
0.64857,6070.928
0.72063,5934.220
0.79270,5967.537
0.86476,6103.657
0.93683,6136.893
1.00889,6327.210
1.08095,6476.546
1.15302,6657.683
1.22508,6869.710
1.29714,6960.964
1.36921,7050.779
1.44127,7196.043
1.51333,7284.833
1.58540,7250.360
1.65746,7482.954
1.72952,7688.071
1.80159,7728.962
1.87365,7542.860
1.94571,7207.936
2.01778,6918.878
2.08984,6397.498
2.16190,6105.456
2.23397,6064.921
2.30603,6020.239
2.37810,6046.284
2.45016,6216.757
2.52222,6284.485
2.59429,6486.290
2.66635,6428.243
2.73841,6265.887
2.81048,5853.000
2.88254,5452.230
2.95460,4935.756
