X,Y
0.00000,3538.000
0.07206,3862.442
0.14413,4031.047
0.21619,4247.771
0.28825,4277.595
0.36032,4311.214
0.43238,4423.655
0.50444,4471.881
0.57651,4414.862
0.64857,4427.199
0.72063,4338.678
0.79270,4616.096
0.86476,4493.996
0.93683,4557.235
1.00889,4456.209
1.08095,4625.748
1.15302,4906.110
1.22508,5097.066
1.29714,5377.112
1.36921,5580.888
1.44127,5457.770
1.51333,5379.839
1.58540,5419.617
1.65746,5718.379
1.72952,5803.896
1.80159,5808.289
1.87365,5616.845
1.94571,5215.134
2.01778,5017.827
2.08984,4892.349
2.16190,4779.783
2.23397,4557.376
2.30603,4580.404
2.37810,4344.368
