X,Y
0.00000,4915.000
0.07206,5201.688
0.14413,5886.758
0.21619,6074.798
0.28825,6363.385
0.36032,6512.197
0.43238,6723.385
0.50444,6981.962
0.57651,7237.397
0.64857,7452.936
0.72063,7725.374
0.79270,7576.917
0.86476,7787.830
0.93683,7686.189
1.00889,7677.977
1.08095,7617.814
1.15302,7469.422
1.22508,7485.323
1.29714,7488.275
1.36921,7379.557
1.44127,7319.742
1.51333,7289.818
1.58540,7248.723
1.65746,7390.864
1.72952,7660.097
1.80159,7860.978
1.87365,7699.843
1.94571,7411.472
2.01778,7056.111
2.08984,6949.200
2.16190,6981.865
2.23397,6729.593
2.30603,6588.281
2.37810,6561.232
2.45016,6518.803
2.52222,6579.696
2.59429,6636.913
2.66635,6640.329
2.73841,6742.768
2.81048,6687.019
2.88254,6706.169
2.95460,6443.775
3.02667,6468.910
3.09873,6360.243
3.17079,6013.551
3.24286,5774.718
3.31492,5752.772
3.38698,5497.204
3.45905,5555.270
