X,Y
0.00000,6018.000
0.07206,6379.028
0.14413,6765.056
0.21619,7130.138
0.28825,7176.292
0.36032,7272.235
0.43238,7055.093
0.50444,7183.614
0.57651,7286.074
0.64857,7434.984
0.72063,7379.067
0.79270,7437.514
0.86476,7498.798
0.93683,7402.897
1.00889,7494.158
1.08095,7348.936
1.15302,7460.825
1.22508,7253.227
1.29714,7313.750
1.36921,7400.519
1.44127,7307.430
1.51333,7255.438
1.58540,7132.012
1.65746,7188.228
1.72952,7097.944
1.80159,7035.038
1.87365,7134.727
1.94571,7099.772
2.01778,6943.745
2.08984,6982.996
2.16190,7244.479
2.23397,7101.572
2.30603,7087.708
2.37810,7055.167
2.45016,7169.389
2.52222,7202.991
2.59429,7149.121
2.66635,7145.366
2.73841,6920.633
2.81048,6737.639
2.88254,6729.785
2.95460,6638.257
3.02667,6451.621
3.09873,6043.814
3.17079,5731.009
3.24286,5408.515
3.31492,5086.793
