X,Y
0.00000,3246.000
0.07206,3132.383
0.14413,2960.513
0.21619,2985.515
0.28825,3142.020
0.36032,3345.661
0.43238,3723.145
0.50444,4266.335
0.57651,4547.008
0.64857,4751.615
0.72063,4924.012
0.79270,4726.113
0.86476,4582.376
0.93683,4513.779
1.00889,4693.608
1.08095,4547.844
1.15302,4555.587
1.22508,4242.517
1.29714,4356.312
1.36921,4234.866
1.44127,4266.912
1.51333,4302.324
1.58540,4429.750
1.65746,4340.922
1.72952,4290.373
1.80159,4270.764
1.87365,4168.488
1.94571,4173.112
2.01778,4114.042
2.08984,3884.388
2.16190,3749.592
2.23397,3699.326
2.30603,3657.649
2.37810,3545.831
2.45016,3459.187
2.52222,3335.076
2.59429,3367.666
2.66635,3441.816
2.73841,3592.871
2.81048,3633.742
2.88254,3606.682
2.95460,3963.993
3.02667,3879.336
3.09873,3682.806
3.17079,3493.557
3.24286,3216.085
3.31492,2817.835
3.38698,2516.507
