X,Y
0.00000,3789.000
0.07206,4192.525
0.14413,4501.170
0.21619,5201.797
0.28825,5369.915
0.36032,5666.855
0.43238,6002.124
0.50444,6171.435
0.57651,6378.427
0.64857,6541.938
0.72063,6753.685
0.79270,6970.582
0.86476,7074.863
0.93683,7114.618
1.00889,6974.035
1.08095,7194.575
1.15302,7306.242
1.22508,7307.833
1.29714,7226.489
1.36921,7077.745
1.44127,7104.607
1.51333,7176.783
1.58540,7132.270
1.65746,7277.369
1.72952,7384.087
1.80159,7181.387
1.87365,7006.335
1.94571,7011.659
2.01778,6974.353
2.08984,7037.098
2.16190,7122.133
2.23397,6939.144
2.30603,6711.704
2.37810,6539.542
2.45016,6330.620
2.52222,6274.360
2.59429,6025.520
2.66635,5833.640
2.73841,5671.920
2.81048,5434.760
2.88254,5298.480
2.95460,4965.320
3.02667,4557.320
