X,Y
0.00000,4294.000
0.07206,4616.725
0.14413,5007.752
0.21619,5120.788
0.28825,5294.979
0.36032,5637.168
0.43238,5872.639
0.50444,5882.798
0.57651,6396.761
0.64857,6594.553
0.72063,6485.202
0.79270,6304.592
0.86476,6371.981
0.93683,6231.170
1.00889,6163.238
1.08095,6183.057
1.15302,6305.699
1.22508,6344.065
1.29714,6514.111
1.36921,6728.804
1.44127,6755.690
1.51333,6605.282
1.58540,6564.900
1.65746,6760.695
1.72952,6564.942
1.80159,6423.141
1.87365,6278.265
1.94571,6276.726
2.01778,6074.948
2.08984,5969.156
2.16190,6089.610
2.23397,6054.570
2.30603,5869.753
2.37810,6020.476
2.45016,5783.289
2.52222,5951.316
2.59429,5984.934
2.66635,6111.228
2.73841,6159.942
2.81048,6054.458
2.88254,6017.190
2.95460,5937.057
3.02667,5897.059
3.09873,5839.041
3.17079,5428.978
3.24286,5431.274
3.31492,5223.531
3.38698,4935.927
