X,Y
0.00000,5063.000
0.07206,5303.498
0.14413,5667.483
0.21619,5802.095
0.28825,6097.783
0.36032,6435.697
0.43238,6597.794
0.50444,6279.098
0.57651,6457.242
0.64857,6481.873
0.72063,6617.685
0.79270,6646.235
0.86476,6558.866
0.93683,6514.720
1.00889,6624.863
1.08095,6562.575
1.15302,6641.441
1.22508,6543.263
1.29714,6554.800
1.36921,6454.406
1.44127,6701.476
1.51333,6862.984
1.58540,6955.387
1.65746,6989.050
1.72952,7047.623
1.80159,6898.508
1.87365,6915.541
1.94571,6999.543
2.01778,6895.522
2.08984,6668.952
2.16190,6892.476
2.23397,6744.480
2.30603,6667.427
2.37810,6719.222
2.45016,6761.651
2.52222,6612.339
2.59429,6506.738
2.66635,6673.326
2.73841,6742.502
2.81048,6758.612
2.88254,6684.229
2.95460,6772.858
3.02667,6812.112
3.09873,6841.214
3.17079,6964.180
3.24286,7170.736
3.31492,7138.963
3.38698,7053.398
3.45905,7142.297
3.53111,7187.833
3.60317,7200.949
3.67524,7231.227
3.74730,7143.388
3.81937,7032.841
3.89143,6930.490
3.96349,6737.293
4.03556,6511.298
4.10762,6450.931
4.17968,6451.103
4.25175,6422.418
4.32381,6398.743
4.39587,6368.015
4.46794,6247.338
4.54000,6474.615
4.61206,6323.994
4.68413,6345.469
4.75619,6203.595
4.82825,6218.263
4.90032,6226.629
4.97238,6026.002
5.04444,6036.572
5.11651,6014.738
5.18857,6077.777
5.26063,5988.160
5.33270,5926.628
5.40476,6006.590
5.47683,6051.524
5.54889,5990.305
5.62095,5701.748
5.69302,5840.265
5.76508,5884.396
5.83714,5818.950
5.90921,5803.483
5.98127,5480.844
6.05333,5516.487
