X,Y
0.00000,1649.000
0.07206,1826.272
0.14413,1933.588
0.21619,2078.600
0.28825,2124.800
0.36032,2188.403
0.43238,2258.507
0.50444,2422.925
0.57651,2403.587
0.64857,2449.461
0.72063,2634.375
0.79270,2669.013
0.86476,2675.132
0.93683,2584.923
1.00889,2710.840
1.08095,2777.581
1.15302,2917.597
1.22508,3006.264
1.29714,2956.574
1.36921,2961.370
1.44127,3148.343
1.51333,2934.260
1.58540,2955.965
1.65746,2968.245
1.72952,3118.212
1.80159,3079.531
1.87365,3179.817
1.94571,3012.360
2.01778,3146.854
2.08984,3248.521
2.16190,3223.429
2.23397,3276.610
2.30603,3336.906
2.37810,3415.503
2.45016,3519.469
2.52222,3780.542
2.59429,3744.957
2.66635,3878.706
2.73841,4061.053
2.81048,4000.242
2.88254,3933.157
2.95460,4029.388
3.02667,3949.866
3.09873,3581.927
3.17079,3544.767
3.24286,3415.957
3.31492,3243.353
3.38698,3196.051
3.45905,3168.342
3.53111,3128.593
3.60317,3121.281
3.67524,3023.831
3.74730,3051.370
3.81937,3064.135
3.89143,2873.698
3.96349,2875.201
4.03556,2998.001
4.10762,3062.089
4.17968,3098.486
4.25175,3101.924
4.32381,3049.760
4.39587,2916.062
4.46794,3066.976
4.54000,3114.295
4.61206,3065.740
4.68413,3115.026
4.75619,3179.758
4.82825,3057.317
4.90032,2890.626
4.97238,2862.310
5.04444,2844.239
5.11651,2869.895
5.18857,2854.647
5.26063,2843.808
5.33270,2896.167
5.40476,2792.272
5.47683,2712.996
5.54889,2582.810
5.62095,2586.139
5.69302,2581.989
5.76508,2547.251
5.83714,2644.992
5.90921,2602.252
5.98127,2493.362
6.05333,2395.313
6.12540,2413.391
6.19746,2285.216
6.26952,2275.970
6.34159,2178.345
6.41365,2253.981
6.48571,2201.900
6.55778,2104.734
6.62984,2033.896
6.70190,2077.107
6.77397,1921.955
6.84603,1803.540
6.91810,1649.298
6.99016,1569.910
7.06222,1426.611
7.13429,1440.379
