X,Y
0.00000,5360.000
0.07206,5361.344
0.14413,5508.562
0.21619,5413.438
0.28825,5603.300
0.36032,5745.007
0.43238,5829.779
0.50444,5904.442
0.57651,5840.779
0.64857,5857.876
0.72063,5979.559
0.79270,5978.333
0.86476,5979.640
0.93683,5920.885
1.00889,5867.814
1.08095,6072.749
1.15302,6098.750
1.22508,6045.407
1.29714,6028.843
1.36921,6133.373
1.44127,5970.400
1.51333,5943.933
1.58540,5946.998
1.65746,5965.690
1.72952,6037.034
1.80159,5982.731
1.87365,5964.323
1.94571,6105.472
2.01778,6259.856
2.08984,6468.950
2.16190,6407.417
2.23397,6417.609
2.30603,6337.744
2.37810,6231.411
2.45016,6122.108
2.52222,6003.542
2.59429,5694.195
2.66635,5807.397
2.73841,5934.100
2.81048,6273.578
2.88254,6543.754
2.95460,6651.686
3.02667,6593.948
3.09873,6656.183
3.17079,6782.959
3.24286,6417.148
3.31492,6045.065
3.38698,5774.028
3.45905,5518.357
3.53111,5714.302
3.60317,5864.986
3.67524,6083.257
3.74730,6203.083
3.81937,6327.988
3.89143,6275.431
3.96349,6298.776
4.03556,6017.734
4.10762,5795.192
4.17968,5763.024
