X,Y
0.00000,3760.000
0.07206,4046.871
0.14413,4277.715
0.21619,4414.339
0.28825,4481.768
0.36032,4770.751
0.43238,4957.256
0.50444,5140.819
0.57651,5032.683
0.64857,5111.690
0.72063,4874.875
0.79270,5085.491
0.86476,5136.018
0.93683,4972.821
1.00889,4858.264
1.08095,4732.232
1.15302,4710.529
1.22508,4736.055
1.29714,4807.434
1.36921,4894.184
1.44127,5040.414
1.51333,4928.951
1.58540,4834.025
1.65746,4676.926
1.72952,4658.871
1.80159,4554.822
1.87365,4578.429
1.94571,4574.251
2.01778,4600.326
2.08984,4730.708
2.16190,4849.889
2.23397,4825.615
2.30603,4602.034
2.37810,4361.646
2.45016,4019.943
2.52222,3678.855
