X,Y
0.00000,5167.000
0.07206,5470.418
0.14413,5431.184
0.21619,5464.037
0.28825,5403.179
0.36032,5241.698
0.43238,5154.183
0.50444,5115.945
0.57651,5129.607
0.64857,5211.061
0.72063,5102.401
0.79270,5142.120
0.86476,5054.538
0.93683,5066.111
1.00889,4887.044
1.08095,4846.999
1.15302,4911.534
1.22508,5109.500
1.29714,4924.250
1.36921,5094.250
1.44127,4858.150
1.51333,4936.650
1.58540,4673.400
1.65746,4878.850
1.72952,4868.750
1.80159,5100.400
1.87365,5445.600
1.94571,5347.700
2.01778,5221.550
2.08984,5272.850
2.16190,5078.450
2.23397,4961.500
2.30603,4689.707
2.37810,4394.428
2.45016,4392.750
