X,Y
0.00000,2989.000
0.07206,3015.712
0.14413,3162.141
0.21619,3061.421
0.28825,3224.943
0.36032,3274.612
0.43238,3461.556
0.50444,3466.010
0.57651,3608.290
0.64857,3591.483
0.72063,3573.869
0.79270,3772.431
0.86476,3983.891
0.93683,4033.189
1.00889,4210.362
1.08095,4207.523
1.15302,4268.269
1.22508,4118.955
1.29714,3933.241
1.36921,3916.488
1.44127,3847.268
1.51333,3971.895
1.58540,4108.842
1.65746,4332.185
1.72952,4418.574
1.80159,4431.831
1.87365,4450.212
1.94571,4480.845
2.01778,4447.904
2.08984,4380.320
2.16190,4386.480
2.23397,4316.880
2.30603,4342.920
2.37810,4554.000
2.45016,4423.840
2.52222,4420.320
2.59429,4466.400
2.66635,4259.120
2.73841,4113.240
2.81048,3917.160
2.88254,3614.360
2.95460,3484.400
3.02667,3498.240
3.09873,3606.200
3.17079,3632.040
3.24286,3576.000
3.31492,3714.480
3.38698,3812.800
3.45905,3992.680
3.53111,4205.800
3.60317,4131.128
3.67524,4293.443
3.74730,4352.512
3.81937,4475.325
3.89143,4472.875
3.96349,4451.771
4.03556,4457.402
4.10762,4499.708
4.17968,4227.196
4.25175,3988.361
4.32381,3843.407
4.39587,3538.111
4.46794,3327.977
4.54000,3378.860
4.61206,3244.558
4.68413,3300.278
