X,Y
0.00000,3651.000
0.07206,4411.830
0.14413,5101.990
0.21619,5904.886
0.28825,6187.181
0.36032,6404.697
0.43238,6596.193
0.50444,6747.226
0.57651,6683.897
0.64857,6668.273
0.72063,6788.390
0.79270,6888.925
0.86476,6586.935
0.93683,6597.539
1.00889,6987.754
1.08095,7204.957
1.15302,7695.069
1.22508,8177.953
1.29714,8966.562
1.36921,9296.470
1.44127,9255.534
1.51333,9358.233
1.58540,9446.145
1.65746,9181.169
1.72952,9082.470
1.80159,8251.607
1.87365,7653.294
1.94571,7222.249
2.01778,6785.282
2.08984,6231.868
2.16190,5584.970
2.23397,4820.667
2.30603,4277.590
