X,Y
0.00000,2163.000
0.07206,2410.351
0.14413,2685.917
0.21619,3023.425
0.28825,3187.606
0.36032,3109.011
0.43238,3319.648
0.50444,3351.442
0.57651,3501.045
0.64857,3319.104
0.72063,3347.408
0.79270,3357.920
0.86476,3329.124
0.93683,3366.235
1.00889,3359.671
1.08095,3471.820
1.15302,3673.272
1.22508,3993.962
1.29714,4157.553
1.36921,4359.442
1.44127,4653.747
1.51333,4811.214
1.58540,4720.020
1.65746,4730.528
1.72952,4711.515
1.80159,4494.927
1.87365,4324.970
1.94571,3956.065
2.01778,3943.675
2.08984,3632.462
2.16190,3366.240
2.23397,2943.476
2.30603,2442.401
