X,Y
0.00000,4842.000
0.07206,5168.655
0.14413,5340.187
0.21619,5614.958
0.28825,5739.798
0.36032,5845.870
0.43238,5959.976
0.50444,6129.027
0.57651,6297.437
0.64857,6301.231
0.72063,6455.702
0.79270,6434.330
0.86476,6501.083
0.93683,6691.690
1.00889,6718.039
1.08095,6665.991
1.15302,6668.964
1.22508,6727.146
1.29714,6672.733
1.36921,6514.404
1.44127,6484.549
1.51333,6638.869
1.58540,6801.693
1.65746,6855.250
1.72952,7203.752
1.80159,7409.798
1.87365,7546.910
1.94571,7608.301
2.01778,7578.816
2.08984,7218.035
2.16190,7059.022
2.23397,7092.524
2.30603,7012.633
2.37810,6728.572
2.45016,6682.808
2.52222,6573.301
2.59429,6510.120
2.66635,6441.795
2.73841,5868.650
2.81048,5461.302
2.88254,5208.642
