X,Y
0.00000,2459.000
0.07206,2610.184
0.14413,2734.994
0.21619,3181.456
0.28825,3468.928
0.36032,3575.256
0.43238,3658.779
0.50444,3644.594
0.57651,3781.131
0.64857,3757.908
0.72063,3655.977
0.79270,3630.815
0.86476,3778.616
0.93683,3737.328
1.00889,3678.627
1.08095,3707.840
1.15302,3529.040
1.22508,3485.160
1.29714,3474.200
1.36921,3495.800
1.44127,3427.080
1.51333,3558.060
1.58540,3511.460
1.65746,3558.180
1.72952,3577.700
1.80159,3437.280
1.87365,3412.232
1.94571,3372.336
2.01778,3356.896
2.08984,3447.306
2.16190,3530.781
2.23397,3331.177
2.30603,3084.885
2.37810,2856.697
2.45016,2596.360
