X,Y
0.00000,3032.000
0.07206,3483.189
0.14413,3985.276
0.21619,4197.205
0.28825,4204.691
0.36032,4225.859
0.43238,4344.395
0.50444,4443.262
0.57651,4535.915
0.64857,4680.540
0.72063,4815.810
0.79270,5068.343
0.86476,5272.159
0.93683,5255.841
1.00889,5026.121
1.08095,4652.306
1.15302,4579.359
1.22508,4483.161
1.29714,4580.737
1.36921,4794.198
1.44127,4830.946
1.51333,4905.675
1.58540,5056.813
1.65746,5255.125
1.72952,5027.437
1.80159,5042.211
1.87365,4817.458
1.94571,5180.944
2.01778,5106.508
2.08984,5072.343
2.16190,4964.980
2.23397,5032.330
2.30603,4730.170
2.37810,4697.700
2.45016,4603.070
2.52222,4619.250
2.59429,4569.850
2.66635,4814.310
2.73841,4717.680
2.81048,4374.200
2.88254,4796.330
