X,Y
0.00000,2415.000
0.07206,2473.100
0.14413,2551.555
0.21619,2477.941
0.28825,2576.204
0.36032,2901.752
0.43238,3227.642
0.50444,3333.666
0.57651,3417.649
0.64857,3285.234
0.72063,3283.657
0.79270,3308.208
0.86476,3420.697
0.93683,3371.297
1.00889,3170.069
1.08095,3252.128
1.15302,3003.266
1.22508,2749.391
1.29714,2835.755
1.36921,2840.052
1.44127,2743.391
1.51333,2714.354
1.58540,2751.800
1.65746,2902.362
1.72952,2944.618
1.80159,2975.630
1.87365,3105.462
1.94571,3110.780
2.01778,2943.673
2.08984,2719.610
2.16190,2494.607
2.23397,2407.986
2.30603,2640.362
2.37810,2580.527
2.45016,2744.854
2.52222,2680.943
2.59429,2643.126
2.66635,2725.069
2.73841,2715.821
2.81048,2745.341
2.88254,2834.018
2.95460,2759.243
3.02667,2714.709
3.09873,2646.081
3.17079,2589.312
3.24286,2557.032
3.31492,2481.744
3.38698,2430.192
3.45905,2376.741
3.53111,2285.888
3.60317,2262.105
3.67524,2232.427
3.74730,2304.557
3.81937,2495.451
3.89143,2628.970
3.96349,2558.660
4.03556,2490.101
4.10762,2411.004
4.17968,2235.951
