X,Y
0.00000,7310.000
0.07206,8779.192
0.14413,10030.729
0.21619,11247.477
0.28825,12194.833
0.36032,12824.540
0.43238,13503.153
0.50444,13506.038
0.57651,13753.397
0.64857,14057.808
0.72063,14141.284
0.79270,14297.041
0.86476,13966.889
0.93683,13895.820
1.00889,13196.121
1.08095,12369.072
1.15302,11412.114
1.22508,10934.986
1.29714,11033.394
1.36921,11498.324
1.44127,12320.729
1.51333,12716.864
1.58540,12474.464
1.65746,12865.550
1.72952,12192.220
1.80159,11468.870
1.87365,10658.980
1.94571,10209.020
2.01778,10488.490
2.08984,11417.203
2.16190,12131.820
2.23397,12886.204
2.30603,13608.215
2.37810,13766.872
2.45016,13644.576
2.52222,13807.482
2.59429,13523.056
2.66635,12771.659
2.73841,11564.273
2.81048,10632.435
2.88254,10101.055
