X,Y
0.00000,1222.000
0.07206,1245.477
0.14413,1281.237
0.21619,1312.273
0.28825,1519.594
0.36032,1674.638
0.43238,1751.358
0.50444,1875.552
0.57651,1764.745
0.64857,1764.286
0.72063,1658.502
0.79270,1573.789
0.86476,1658.832
0.93683,1684.131
1.00889,1930.982
1.08095,2018.319
1.15302,2167.767
1.22508,2140.546
1.29714,2143.793
1.36921,2182.503
1.44127,2148.670
1.51333,2268.723
1.58540,2304.613
1.65746,2271.107
1.72952,2281.959
1.80159,2283.143
1.87365,2243.492
1.94571,2249.944
2.01778,2189.295
2.08984,2251.526
2.16190,2225.571
2.23397,2272.694
2.30603,2316.417
2.37810,2264.531
2.45016,2170.594
2.52222,1929.339
2.59429,1934.125
2.66635,1856.609
2.73841,1769.381
2.81048,1693.362
2.88254,1613.121
2.95460,1504.910
3.02667,1462.607
3.09873,1357.540
3.17079,1325.030
3.24286,1258.728
3.31492,1335.640
3.38698,1228.008
3.45905,1229.894
3.53111,1198.199
3.60317,1099.408
