X,Y
0.00000,1907.000
0.07206,2185.062
0.14413,2566.359
0.21619,2802.821
0.28825,3168.674
0.36032,3322.415
0.43238,3369.620
0.50444,3429.385
0.57651,3529.844
0.64857,3572.676
0.72063,3596.465
0.79270,3680.154
0.86476,3878.616
0.93683,4075.585
1.00889,4196.610
1.08095,4408.263
1.15302,4349.784
1.22508,4157.328
1.29714,4120.719
1.36921,4067.728
1.44127,3928.313
1.51333,4112.478
1.58540,4177.797
1.65746,4145.862
1.72952,4308.301
1.80159,4027.069
1.87365,3836.867
1.94571,3763.128
2.01778,3499.330
2.08984,3525.684
2.16190,3372.740
2.23397,3211.178
2.30603,3020.975
2.37810,3256.869
2.45016,3469.869
2.52222,3630.962
2.59429,3746.208
2.66635,3705.633
2.73841,3697.357
2.81048,3788.432
2.88254,3830.100
2.95460,3809.711
3.02667,3751.649
3.09873,3516.366
3.17079,3503.179
3.24286,3716.295
3.31492,3649.074
3.38698,3587.044
3.45905,3539.549
3.53111,3263.097
3.60317,3128.380
3.67524,3102.635
3.74730,3123.232
3.81937,3121.133
3.89143,3188.904
3.96349,3003.044
4.03556,2720.897
4.10762,2115.850
