X,Y
0.00000,929.000
0.07206,1087.610
0.14413,1184.159
0.21619,1229.093
0.28825,1140.833
0.36032,1330.616
0.43238,1354.720
0.50444,1352.772
0.57651,1460.143
0.64857,1374.498
0.72063,1488.606
0.79270,1596.060
0.86476,1727.428
0.93683,1774.979
1.00889,1958.908
1.08095,2232.594
1.15302,2390.651
1.22508,2380.820
1.29714,2443.510
1.36921,2476.329
1.44127,2571.043
1.51333,2593.580
1.58540,2462.680
1.65746,2500.180
1.72952,2448.080
1.80159,2483.260
1.87365,2444.800
1.94571,2438.120
2.01778,2469.360
2.08984,2454.320
2.16190,2526.520
2.23397,2720.080
2.30603,3129.720
2.37810,2992.960
2.45016,3236.960
2.52222,3321.380
2.59429,3197.560
2.66635,2927.460
2.73841,2933.760
2.81048,3246.216
2.88254,3423.939
2.95460,3558.238
3.02667,3641.970
3.09873,3562.905
3.17079,3452.976
3.24286,3516.900
3.31492,3648.516
3.38698,3883.672
3.45905,4219.896
3.53111,4506.327
3.60317,4524.145
3.67524,4429.622
