X,Y
0.00000,1297.000
0.07206,1411.393
0.14413,1479.459
0.21619,1445.049
0.28825,1534.111
0.36032,1630.433
0.43238,1676.336
0.50444,1612.811
0.57651,1527.409
0.64857,1558.500
0.72063,1567.071
0.79270,1479.483
0.86476,1468.932
0.93683,1600.970
1.00889,1672.191
1.08095,1756.140
1.15302,1784.144
1.22508,1881.824
1.29714,1887.295
1.36921,2005.343
1.44127,2124.935
1.51333,2213.028
1.58540,2376.001
1.65746,2480.069
1.72952,2849.060
1.80159,3088.075
1.87365,3353.312
1.94571,3526.568
2.01778,3739.001
2.08984,3777.549
2.16190,3638.598
2.23397,3348.962
2.30603,3018.218
2.37810,2701.044
2.45016,2816.727
2.52222,3104.526
2.59429,3582.303
2.66635,3960.721
2.73841,3877.987
2.81048,3648.662
2.88254,3497.159
2.95460,3479.152
3.02667,3582.375
3.09873,3539.929
3.17079,3392.049
3.24286,3028.775
3.31492,2652.783
3.38698,2242.401
