X,Y
0.00000,2726.000
0.07206,3204.684
0.14413,3710.763
0.21619,4210.545
0.28825,4548.655
0.36032,4679.112
0.43238,4232.919
0.50444,3913.548
0.57651,3744.625
0.64857,3855.284
0.72063,4129.501
0.79270,4439.834
0.86476,4701.258
0.93683,4727.485
1.00889,4743.723
1.08095,4886.903
1.15302,4979.349
1.22508,5176.692
1.29714,5193.141
1.36921,5139.190
1.44127,5359.430
1.51333,5027.189
1.58540,4970.827
1.65746,5169.155
1.72952,5297.070
1.80159,5287.114
1.87365,4767.855
1.94571,4225.469
2.01778,4040.571
2.08984,4131.262
2.16190,4427.137
2.23397,4849.552
2.30603,5056.153
2.37810,5120.101
2.45016,4949.894
2.52222,4917.357
2.59429,4817.866
2.66635,4787.500
2.73841,4725.810
2.81048,4500.600
2.88254,4323.009
2.95460,4201.191
3.02667,4067.072
3.09873,4163.380
3.17079,4296.825
3.24286,4294.030
3.31492,4179.484
3.38698,3942.630
3.45905,3649.734
