X,Y
0.00000,2608.000
0.07206,2706.330
0.14413,2990.758
0.21619,3079.390
0.28825,3129.891
0.36032,3360.596
0.43238,3340.200
0.50444,3456.093
0.57651,3571.500
0.64857,3645.687
0.72063,3830.840
0.79270,3858.987
0.86476,4012.483
0.93683,4203.440
1.00889,4299.590
1.08095,4584.785
1.15302,4549.881
1.22508,4857.950
1.29714,4696.277
1.36921,4660.678
1.44127,4417.135
1.51333,4595.825
1.58540,4393.043
1.65746,4298.081
1.72952,4080.201
1.80159,3979.503
1.87365,4041.146
1.94571,4210.422
2.01778,4410.437
2.08984,4600.621
2.16190,4564.405
2.23397,4382.707
2.30603,4531.157
2.37810,4425.189
2.45016,4547.329
2.52222,4376.582
2.59429,4258.901
2.66635,4387.039
2.73841,4193.421
2.81048,4214.103
2.88254,4216.846
2.95460,4146.092
3.02667,3916.775
3.09873,3664.889
3.17079,3525.826
3.24286,3411.455
3.31492,3364.927
3.38698,3239.987
3.45905,3171.438
3.53111,3096.168
3.60317,2860.250
3.67524,3006.769
3.74730,2740.651
3.81937,2889.063
3.89143,2843.663
3.96349,2762.170
4.03556,2741.161
4.10762,2680.387
4.17968,2596.308
