X,Y
0.00000,2462.000
0.07206,2339.911
0.14413,2414.052
0.21619,2368.704
0.28825,2531.549
0.36032,2578.984
0.43238,2706.289
0.50444,2839.101
0.57651,3221.077
0.64857,3457.202
0.72063,3508.309
0.79270,3589.220
0.86476,3605.606
0.93683,3496.232
1.00889,3222.861
1.08095,2918.330
1.15302,2647.654
1.22508,2556.083
1.29714,2513.829
1.36921,2483.771
1.44127,2646.647
1.51333,2777.592
1.58540,3071.246
1.65746,3369.011
1.72952,3277.738
1.80159,3173.985
1.87365,2850.189
1.94571,2540.625
2.01778,2326.720
2.08984,2221.225
2.16190,2107.320
2.23397,2114.517
2.30603,2205.828
2.37810,2133.849
2.45016,2075.668
2.52222,2047.805
2.59429,2033.543
2.66635,2057.819
2.73841,2151.523
2.81048,2094.560
2.88254,2066.976
2.95460,1986.929
3.02667,1883.946
3.09873,1745.758
3.17079,1593.853
