X,Y
0.00000,2787.000
0.07206,3695.081
0.14413,4852.189
0.21619,5440.025
0.28825,6011.189
0.36032,6366.131
0.43238,6663.803
0.50444,6942.978
0.57651,7109.413
0.64857,6961.175
0.72063,7158.647
0.79270,7277.181
0.86476,7751.776
0.93683,8692.036
1.00889,9587.188
1.08095,10134.120
1.15302,10923.135
1.22508,11439.835
1.29714,11480.352
1.36921,10975.938
1.44127,10924.153
1.51333,10470.575
1.58540,10192.879
1.65746,10214.482
1.72952,9978.834
1.80159,9722.462
1.87365,9281.744
1.94571,8908.386
2.01778,8785.026
2.08984,8476.203
2.16190,7983.459
2.23397,7229.230
2.30603,6588.668
2.37810,6071.715
2.45016,5761.938
2.52222,5810.865
2.59429,5395.463
2.66635,5092.460
2.73841,4830.226
2.81048,4598.528
2.88254,4559.857
2.95460,4950.201
3.02667,5214.423
3.09873,5416.143
3.17079,5209.923
3.24286,4789.328
3.31492,4051.097
3.38698,3007.850
3.45905,2325.444
3.53111,1902.394
