X,Y
0.00000,1777.000
0.07206,1770.288
0.14413,1856.507
0.21619,1989.451
0.28825,2195.757
0.36032,2122.696
0.43238,2125.614
0.50444,2076.059
0.57651,2232.029
0.64857,2315.639
0.72063,2496.944
0.79270,2529.278
0.86476,2310.800
0.93683,2182.057
1.00889,2171.670
1.08095,2412.088
1.15302,2906.770
1.22508,2957.217
1.29714,2789.171
1.36921,2566.424
1.44127,2524.332
1.51333,2707.453
1.58540,2972.754
1.65746,3098.885
1.72952,2982.516
1.80159,2802.271
1.87365,2680.312
1.94571,2851.961
2.01778,3061.240
2.08984,3140.348
2.16190,3134.478
2.23397,3082.103
2.30603,2984.532
2.37810,2985.242
2.45016,2849.389
2.52222,2789.270
2.59429,2926.811
2.66635,3003.651
2.73841,3093.737
2.81048,3095.680
2.88254,2968.320
2.95460,2926.280
3.02667,2968.480
3.09873,2861.920
3.17079,2595.000
3.24286,2283.000
3.31492,1946.080
3.38698,1627.600
