X,Y
0.00000,1932.000
0.07206,2232.669
0.14413,2593.921
0.21619,2569.328
0.28825,2752.443
0.36032,2766.189
0.43238,2812.376
0.50444,2681.265
0.57651,2776.337
0.64857,2778.642
0.72063,2882.930
0.79270,3072.837
0.86476,2975.299
0.93683,2683.491
1.00889,2472.553
1.08095,2397.334
1.15302,2489.353
1.22508,2571.189
1.29714,2716.497
1.36921,2838.599
1.44127,2771.548
1.51333,2815.376
1.58540,2996.293
1.65746,3170.920
1.72952,3151.720
1.80159,3196.920
1.87365,3387.000
1.94571,3670.240
2.01778,3853.120
2.08984,3832.480
2.16190,3627.480
2.23397,3720.429
2.30603,3771.015
2.37810,3789.925
2.45016,4203.852
2.52222,4112.509
2.59429,3958.758
2.66635,3904.134
2.73841,4047.321
2.81048,3983.198
2.88254,3842.433
2.95460,3923.407
3.02667,3775.601
3.09873,3806.426
3.17079,3657.108
3.24286,3572.661
3.31492,3080.873
