X,Y
0.00000,890.000
0.07206,944.157
0.14413,988.918
0.21619,1086.471
0.28825,1206.016
0.36032,1326.345
0.43238,1369.607
0.50444,1438.380
0.57651,1431.692
0.64857,1479.401
0.72063,1452.272
0.79270,1459.619
0.86476,1488.940
0.93683,1516.449
1.00889,1531.772
1.08095,1508.142
1.15302,1596.186
1.22508,1675.356
1.29714,1725.028
1.36921,1754.892
1.44127,1811.546
1.51333,1890.038
1.58540,1847.177
1.65746,1808.701
1.72952,1785.740
1.80159,1765.776
1.87365,1903.202
1.94571,1905.428
2.01778,1782.518
2.08984,1796.930
2.16190,1764.465
2.23397,1800.252
2.30603,1922.640
2.37810,2001.003
2.45016,1909.182
2.52222,1982.268
2.59429,1924.898
2.66635,1981.513
2.73841,1875.277
2.81048,1809.315
2.88254,1769.635
2.95460,1699.398
3.02667,1889.905
3.09873,1758.040
3.17079,1873.800
3.24286,1758.960
3.31492,1840.920
3.38698,1556.440
3.45905,1426.120
3.53111,1530.160
