X,Y
0.00000,1129.000
0.07206,1247.795
0.14413,1529.321
0.21619,1778.904
0.28825,1838.871
0.36032,1979.860
0.43238,1990.191
0.50444,2028.430
0.57651,2201.828
0.64857,2315.282
0.72063,2570.751
0.79270,2762.494
0.86476,2940.684
0.93683,3003.892
1.00889,2987.671
1.08095,2921.689
1.15302,2679.244
1.22508,2522.105
1.29714,2399.165
1.36921,2398.611
1.44127,2483.689
1.51333,2326.579
1.58540,2328.496
1.65746,2408.024
1.72952,2513.486
1.80159,2543.432
1.87365,2494.264
1.94571,2360.368
2.01778,2473.094
2.08984,2608.319
2.16190,2779.686
2.23397,2727.199
2.30603,2582.037
2.37810,2452.661
2.45016,2370.228
2.52222,2494.027
2.59429,2485.784
2.66635,2400.848
2.73841,2473.172
2.81048,2553.671
2.88254,2730.303
2.95460,2783.563
3.02667,2690.231
3.09873,2625.924
3.17079,2780.152
3.24286,2790.065
3.31492,2745.913
3.38698,2686.161
3.45905,2905.992
3.53111,2899.536
3.60317,3004.609
3.67524,2825.418
3.74730,2501.001
3.81937,2652.818
3.89143,2757.789
3.96349,2735.711
4.03556,2704.500
4.10762,2566.173
4.17968,2557.606
4.25175,2505.365
4.32381,2456.396
4.39587,2414.325
4.46794,2371.269
4.54000,2451.885
4.61206,2443.183
4.68413,2506.526
