X,Y
0.00000,1677.000
0.07206,1924.345
0.14413,2096.497
0.21619,2125.935
0.28825,2175.878
0.36032,2193.344
0.43238,2195.924
0.50444,2155.473
0.57651,2053.473
0.64857,1995.432
0.72063,1936.643
0.79270,2180.108
0.86476,2267.441
0.93683,2298.244
1.00889,2234.611
1.08095,2417.114
1.15302,2651.657
1.22508,2827.023
1.29714,2992.741
1.36921,3037.835
1.44127,2945.481
1.51333,2694.810
1.58540,2491.354
1.65746,2517.717
1.72952,2690.490
1.80159,2936.392
1.87365,3286.345
1.94571,3360.905
2.01778,3532.153
2.08984,3636.256
2.16190,3452.572
2.23397,3341.115
2.30603,3322.547
2.37810,3318.018
2.45016,3263.692
2.52222,3183.701
2.59429,2837.667
2.66635,2599.946
2.73841,2515.094
2.81048,2475.100
2.88254,2666.581
2.95460,2822.832
3.02667,2768.145
3.09873,2623.567
3.17079,2410.969
3.24286,2250.579
3.31492,2421.073
3.38698,2565.688
3.45905,2610.972
3.53111,2868.768
3.60317,2976.821
3.67524,2874.954
3.74730,2902.473
3.81937,2934.109
3.89143,2995.382
3.96349,2850.356
4.03556,2536.497
4.10762,2365.657
4.17968,2089.380
