X,Y
0.00000,1688.000
0.07206,1968.760
0.14413,2298.800
0.21619,2480.360
0.28825,2680.480
0.36032,3038.000
0.43238,3033.480
0.50444,3005.600
0.57651,3056.440
0.64857,3101.240
0.72063,3309.000
0.79270,3358.360
0.86476,3116.520
0.93683,2965.240
1.00889,3031.640
1.08095,3035.000
1.15302,3201.560
1.22508,3405.800
1.29714,3407.880
1.36921,3297.520
1.44127,3425.000
1.51333,3546.622
1.58540,3728.086
1.65746,3812.396
1.72952,3874.656
1.80159,3740.069
1.87365,3464.337
1.94571,3478.671
2.01778,3453.193
2.08984,3577.079
2.16190,3810.356
2.23397,3984.727
2.30603,3873.331
2.37810,3802.390
2.45016,3670.064
2.52222,3415.238
2.59429,3351.640
2.66635,3293.748
2.73841,3159.213
2.81048,3009.061
2.88254,2948.245
2.95460,2930.223
3.02667,3022.596
3.09873,3166.259
3.17079,3220.935
3.24286,3156.552
3.31492,3219.227
3.38698,3182.405
3.45905,3136.274
3.53111,2998.267
3.60317,2600.427
3.67524,2100.294
3.74730,1871.783
3.81937,1575.860
