X,Y
0.00000,1501.000
0.07206,1472.312
0.14413,1539.581
0.21619,1512.875
0.28825,1643.172
0.36032,1605.643
0.43238,1659.710
0.50444,1711.251
0.57651,1905.572
0.64857,2237.844
0.72063,2260.693
0.79270,2439.761
0.86476,2478.631
0.93683,2511.482
1.00889,2399.095
1.08095,2452.736
1.15302,2537.270
1.22508,2690.259
1.29714,2886.425
1.36921,3058.763
1.44127,3104.336
1.51333,2894.929
1.58540,2734.900
1.65746,2803.305
1.72952,2860.586
1.80159,2966.570
1.87365,3177.703
1.94571,3296.377
2.01778,3512.985
2.08984,3788.031
2.16190,3520.424
2.23397,3611.251
2.30603,3538.812
2.37810,3183.962
2.45016,3032.068
2.52222,2906.170
2.59429,2807.023
2.66635,2746.447
2.73841,2689.576
2.81048,2655.533
2.88254,2685.118
2.95460,2738.862
3.02667,2737.143
3.09873,2797.586
3.17079,2961.299
3.24286,3096.384
3.31492,3239.593
3.38698,3279.646
3.45905,3304.019
3.53111,3401.019
3.60317,3432.716
3.67524,3623.573
3.74730,3619.547
3.81937,3305.727
3.89143,2988.924
3.96349,2627.766
