X,Y
0.00000,2760.000
0.07206,2819.951
0.14413,3066.127
0.21619,3270.235
0.28825,3242.284
0.36032,3440.722
0.43238,3522.143
0.50444,3571.402
0.57651,3602.061
0.64857,3618.250
0.72063,3475.406
0.79270,3280.344
0.86476,3346.480
0.93683,3468.307
1.00889,3342.896
1.08095,3061.445
1.15302,2760.854
1.22508,2534.750
1.29714,2401.885
1.36921,2500.904
1.44127,2593.229
1.51333,2939.980
1.58540,3246.689
1.65746,3458.287
1.72952,3437.610
1.80159,3433.979
1.87365,3646.191
1.94571,3656.121
2.01778,3466.630
2.08984,3363.966
2.16190,3228.137
2.23397,3035.424
2.30603,2762.712
2.37810,2478.777
2.45016,2250.030
2.52222,2122.292
2.59429,1975.915
