X,Y
0.00000,2593.000
0.07206,2999.871
0.14413,3546.468
0.21619,3811.713
0.28825,3934.302
0.36032,3967.627
0.43238,3989.737
0.50444,3908.761
0.57651,3759.294
0.64857,4042.482
0.72063,4258.087
0.79270,5009.421
0.86476,6427.923
0.93683,7518.268
1.00889,8293.503
1.08095,8000.716
1.15302,7564.661
1.22508,6634.951
1.29714,6274.170
1.36921,6366.306
1.44127,6835.199
1.51333,7132.395
1.58540,7600.631
1.65746,7565.156
1.72952,7379.223
1.80159,7190.963
1.87365,7281.100
1.94571,7297.116
2.01778,6838.278
2.08984,6369.575
2.16190,5688.486
2.23397,5452.532
2.30603,5667.518
2.37810,6058.905
2.45016,6008.776
2.52222,5671.177
2.59429,4980.470
2.66635,4801.715
2.73841,4750.293
2.81048,5130.901
2.88254,5537.827
2.95460,5872.259
3.02667,6340.045
3.09873,6750.804
3.17079,7333.573
3.24286,7696.512
3.31492,7719.756
3.38698,7279.609
3.45905,6363.834
3.53111,5483.641
3.60317,4977.644
3.67524,4933.006
3.74730,4714.908
3.81937,4406.556
3.89143,4063.729
3.96349,3679.531
4.03556,3520.595
4.10762,2923.096
