X,Y
0.00000,2011.000
0.07206,2275.999
0.14413,2676.932
0.21619,3161.352
0.28825,3133.538
0.36032,3309.351
0.43238,3294.045
0.50444,3207.598
0.57651,3113.809
0.64857,3008.462
0.72063,3035.205
0.79270,3054.166
0.86476,3090.828
0.93683,2951.106
1.00889,2927.665
1.08095,2798.033
1.15302,2947.559
1.22508,3027.557
1.29714,3108.258
1.36921,3281.933
1.44127,3344.423
1.51333,3254.953
1.58540,3472.124
1.65746,3425.596
1.72952,3539.902
1.80159,3680.432
1.87365,3667.711
1.94571,3840.083
2.01778,3739.906
2.08984,3894.211
2.16190,3974.679
2.23397,3982.168
2.30603,4139.478
2.37810,4082.075
2.45016,4376.121
2.52222,4211.604
2.59429,4212.315
2.66635,4039.042
2.73841,3924.460
2.81048,3958.382
2.88254,3899.706
2.95460,3969.038
3.02667,3740.713
3.09873,3231.180
3.17079,3280.907
3.24286,2994.351
