X,Y
0.00000,2925.000
0.07206,3384.725
0.14413,3748.090
0.21619,4065.873
0.28825,4438.032
0.36032,4441.151
0.43238,4567.499
0.50444,4476.477
0.57651,4664.288
0.64857,4868.483
0.72063,5022.174
0.79270,5043.820
0.86476,5056.498
0.93683,5172.421
1.00889,5192.267
1.08095,5169.946
1.15302,5105.189
1.22508,5225.296
1.29714,5654.383
1.36921,5849.653
1.44127,6093.919
1.51333,6485.687
1.58540,6998.796
1.65746,7498.575
1.72952,7829.914
1.80159,8141.237
1.87365,8313.116
1.94571,7665.790
2.01778,7652.934
2.08984,7426.247
2.16190,7094.051
2.23397,6803.946
2.30603,6749.839
2.37810,6478.681
2.45016,6437.130
2.52222,6433.793
2.59429,6329.084
2.66635,6546.501
2.73841,6610.974
2.81048,6838.314
2.88254,6761.328
2.95460,6928.106
3.02667,6772.186
3.09873,6516.078
3.17079,5779.062
3.24286,5018.627
