X,Y
0.00000,3703.000
0.07206,4155.430
0.14413,4707.285
0.21619,5085.584
0.28825,5400.552
0.36032,5812.106
0.43238,6152.088
0.50444,6504.869
0.57651,6956.802
0.64857,6910.084
0.72063,7053.273
0.79270,7063.151
0.86476,7035.239
0.93683,7090.430
1.00889,6756.293
1.08095,6654.595
1.15302,6708.430
1.22508,6935.506
1.29714,7289.812
1.36921,7701.567
1.44127,7636.449
1.51333,7463.607
1.58540,7190.920
1.65746,7022.494
1.72952,6894.447
1.80159,7044.301
1.87365,7150.412
1.94571,7533.934
2.01778,7309.311
2.08984,6785.356
2.16190,5901.026
2.23397,5360.792
2.30603,5230.732
2.37810,5564.448
2.45016,5716.722
2.52222,5794.034
2.59429,5807.253
2.66635,5720.541
2.73841,5299.269
2.81048,4953.304
2.88254,4568.399
