X,Y
0.00000,1633.000
0.07206,2087.114
0.14413,2611.250
0.21619,3009.036
0.28825,3195.287
0.36032,3278.757
0.43238,3327.723
0.50444,3360.094
0.57651,3272.960
0.64857,3375.013
0.72063,3396.189
0.79270,3294.999
0.86476,3471.946
0.93683,3370.667
1.00889,3197.925
1.08095,3242.190
1.15302,3682.540
1.22508,3611.380
1.29714,3421.680
1.36921,3169.640
1.44127,2987.080
1.51333,2979.740
1.58540,2868.140
1.65746,2707.280
1.72952,2718.740
1.80159,2705.320
1.87365,2801.360
1.94571,3025.940
2.01778,3222.520
2.08984,3452.440
2.16190,3542.560
2.23397,3547.880
2.30603,3416.840
2.37810,3346.980
2.45016,3231.840
2.52222,2916.921
2.59429,2853.895
2.66635,2874.917
2.73841,2718.121
2.81048,2640.949
2.88254,2763.202
2.95460,3012.087
3.02667,3359.960
3.09873,3743.835
3.17079,4129.005
3.24286,4225.343
3.31492,4188.989
3.38698,4073.142
3.45905,4143.113
3.53111,4153.866
3.60317,4125.139
3.67524,4235.405
3.74730,4274.245
3.81937,4283.208
3.89143,4354.523
3.96349,4277.847
4.03556,4094.567
4.10762,3782.221
4.17968,3489.576
4.25175,3357.371
4.32381,3363.917
4.39587,3476.850
4.46794,3428.068
4.54000,3236.461
4.61206,3072.727
