X,Y
0.00000,1735.000
0.07206,1927.160
0.14413,1970.576
0.21619,1998.491
0.28825,2165.282
0.36032,2169.490
0.43238,2183.878
0.50444,2172.913
0.57651,2232.492
0.64857,2242.437
0.72063,2384.034
0.79270,2611.144
0.86476,2851.866
0.93683,2932.621
1.00889,3020.219
1.08095,3057.562
1.15302,3238.479
1.22508,3465.875
1.29714,3912.776
1.36921,4073.922
1.44127,4295.687
1.51333,4555.304
1.58540,4655.775
1.65746,4600.042
1.72952,4574.564
1.80159,4342.851
1.87365,4317.063
1.94571,4137.445
2.01778,4226.938
2.08984,4281.460
2.16190,4287.486
2.23397,4338.265
2.30603,4217.290
2.37810,4295.393
2.45016,4355.521
2.52222,4503.513
2.59429,4421.971
2.66635,4198.353
2.73841,3825.726
2.81048,3702.137
