X,Y
0.00000,2837.000
0.07206,3037.705
0.14413,3158.052
0.21619,3190.457
0.28825,3227.726
0.36032,3350.165
0.43238,3515.537
0.50444,3757.653
0.57651,4048.311
0.64857,4413.165
0.72063,4368.425
0.79270,4393.541
0.86476,4301.164
0.93683,4240.087
1.00889,4112.303
1.08095,3870.741
1.15302,3980.376
1.22508,3930.532
1.29714,3772.217
1.36921,3615.298
1.44127,3524.244
1.51333,3500.452
1.58540,3379.898
1.65746,3603.813
1.72952,3730.219
1.80159,3829.693
1.87365,3788.327
1.94571,3845.670
2.01778,3589.483
2.08984,3814.924
2.16190,4024.835
2.23397,4159.901
2.30603,4088.388
2.37810,4117.887
2.45016,3819.744
2.52222,3431.741
2.59429,3306.513
2.66635,3278.199
2.73841,3490.678
2.81048,3542.423
2.88254,3570.534
2.95460,3579.117
3.02667,3556.165
3.09873,3663.891
3.17079,3831.378
3.24286,3960.828
3.31492,4090.420
3.38698,4163.836
3.45905,4138.894
3.53111,4078.436
3.60317,4144.885
3.67524,4266.897
3.74730,4349.480
3.81937,4292.077
3.89143,4123.010
3.96349,3660.621
4.03556,3352.412
4.10762,3114.800
4.17968,3047.742
4.25175,3107.877
4.32381,3188.296
4.39587,3309.335
4.46794,3369.141
4.54000,3411.263
4.61206,3422.916
4.68413,3113.340
4.75619,2834.267
4.82825,2659.269
4.90032,2306.593
4.97238,2084.997
