X,Y
0.00000,4770.000
0.07206,5123.510
0.14413,5321.019
0.21619,5574.292
0.28825,5890.992
0.36032,6084.766
0.43238,6158.510
0.50444,6102.647
0.57651,6059.317
0.64857,6106.915
0.72063,6293.840
0.79270,6602.000
0.86476,6920.643
0.93683,7148.947
1.00889,7056.477
1.08095,6539.190
1.15302,6066.823
1.22508,5637.376
1.29714,5248.078
1.36921,4708.883
1.44127,4601.886
1.51333,4464.230
1.58540,4310.509
1.65746,4352.956
1.72952,4279.452
1.80159,4346.217
1.87365,4242.174
1.94571,4053.585
2.01778,3775.484
2.08984,3316.162
