X,Y
0.00000,1423.000
0.07206,1691.034
0.14413,1908.166
0.21619,2179.321
0.28825,2504.406
0.36032,2687.084
0.43238,2761.204
0.50444,2795.699
0.57651,2794.708
0.64857,2634.734
0.72063,2601.110
0.79270,2787.800
0.86476,2786.217
0.93683,2770.529
1.00889,2751.985
1.08095,2748.328
1.15302,2808.822
1.22508,3063.642
1.29714,3587.756
1.36921,3920.438
1.44127,4471.583
1.51333,4805.841
1.58540,4990.400
1.65746,4946.635
1.72952,4761.507
1.80159,4655.555
1.87365,4678.067
1.94571,4630.431
2.01778,4829.157
2.08984,4880.987
2.16190,4868.937
2.23397,4696.090
2.30603,4727.001
2.37810,4819.437
2.45016,4714.895
2.52222,4552.072
2.59429,4383.731
2.66635,4136.508
2.73841,3917.297
2.81048,3800.602
2.88254,3656.163
2.95460,3510.037
3.02667,3295.081
3.09873,3264.442
3.17079,2978.678
3.24286,2761.697
3.31492,2347.957
