X,Y
0.00000,2339.000
0.07206,2809.083
0.14413,3199.945
0.21619,3384.154
0.28825,3644.824
0.36032,3885.616
0.43238,3936.399
0.50444,3999.425
0.57651,4160.662
0.64857,4417.820
0.72063,4495.086
0.79270,4444.764
0.86476,4531.199
0.93683,4436.231
1.00889,4320.278
1.08095,4296.770
1.15302,4403.774
1.22508,4599.483
1.29714,4775.053
1.36921,5103.218
1.44127,5413.853
1.51333,5600.855
1.58540,5604.426
1.65746,5612.218
1.72952,5487.927
1.80159,5570.405
1.87365,5517.661
1.94571,5914.790
2.01778,5924.620
2.08984,6039.081
2.16190,5999.641
2.23397,5996.000
2.30603,5880.206
2.37810,6016.364
2.45016,6413.091
2.52222,6505.612
2.59429,6652.106
2.66635,6894.705
2.73841,6886.947
2.81048,6650.924
2.88254,6532.731
2.95460,6644.373
3.02667,6581.477
3.09873,6489.495
3.17079,6627.206
3.24286,6766.573
3.31492,7275.385
3.38698,7426.183
3.45905,7522.473
3.53111,7177.624
3.60317,6388.153
3.67524,5866.078
