X,Y
0.00000,2541.000
0.07206,3117.880
0.14413,3812.742
0.21619,4342.377
0.28825,4889.169
0.36032,4888.875
0.43238,5025.107
0.50444,5193.791
0.57651,5293.621
0.64857,5454.380
0.72063,5648.808
0.79270,5708.560
0.86476,5785.728
0.93683,5932.292
1.00889,5769.808
1.08095,5521.832
1.15302,5451.477
1.22508,5395.461
1.29714,5258.478
1.36921,5137.056
1.44127,5158.269
1.51333,5065.408
1.58540,5133.280
1.65746,5131.229
1.72952,5095.672
1.80159,5048.387
1.87365,5183.151
1.94571,5214.463
2.01778,5344.703
2.08984,5289.606
2.16190,5013.065
2.23397,5087.026
2.30603,5107.565
2.37810,5177.312
2.45016,5193.182
2.52222,5249.588
2.59429,5338.243
2.66635,5282.513
2.73841,5062.159
2.81048,5145.622
2.88254,4799.261
2.95460,4620.451
