X,Y
0.00000,2527.000
0.07206,2483.967
0.14413,2600.273
0.21619,2661.373
0.28825,2809.790
0.36032,2751.515
0.43238,2866.374
0.50444,2794.422
0.57651,2795.641
0.64857,2856.281
0.72063,2831.575
0.79270,2863.884
0.86476,2765.019
0.93683,2790.869
1.00889,2867.828
1.08095,2777.399
1.15302,2893.381
1.22508,3013.434
1.29714,2968.154
1.36921,3126.351
1.44127,3235.458
1.51333,3217.402
1.58540,3380.930
1.65746,3500.807
1.72952,3445.494
1.80159,3353.896
1.87365,3428.514
1.94571,3399.223
2.01778,3377.900
2.08984,3379.637
2.16190,3381.254
2.23397,3466.315
2.30603,3554.520
2.37810,3446.973
2.45016,3563.810
2.52222,3769.994
2.59429,3767.487
2.66635,3715.440
2.73841,3656.568
2.81048,3647.442
2.88254,3638.946
2.95460,3584.411
3.02667,3623.442
3.09873,3767.936
3.17079,3765.735
3.24286,3854.279
3.31492,3912.307
3.38698,3935.767
3.45905,3962.620
3.53111,4047.502
3.60317,4043.928
3.67524,4100.743
3.74730,4034.894
3.81937,4004.832
3.89143,4001.749
3.96349,3990.286
4.03556,4041.128
4.10762,4003.993
4.17968,4044.167
4.25175,3977.224
4.32381,3954.604
4.39587,3893.475
4.46794,3785.257
4.54000,3730.440
4.61206,3581.777
4.68413,3519.679
4.75619,3505.031
4.82825,3406.445
4.90032,3404.390
4.97238,3338.143
5.04444,3358.681
5.11651,3411.091
5.18857,3469.733
5.26063,3485.969
