X,Y
0.00000,2332.000
0.07206,2720.426
0.14413,2947.445
0.21619,3048.206
0.28825,3269.414
0.36032,3110.570
0.43238,2983.231
0.50444,2850.942
0.57651,2884.762
0.64857,2950.921
0.72063,3056.803
0.79270,3123.379
0.86476,3382.495
0.93683,3593.169
1.00889,3836.601
1.08095,4057.371
1.15302,4149.184
1.22508,4217.537
1.29714,4196.588
1.36921,4143.245
1.44127,4135.163
1.51333,4098.447
1.58540,4223.304
1.65746,4313.496
1.72952,4318.581
1.80159,4156.097
1.87365,4155.505
1.94571,4152.108
2.01778,4095.886
2.08984,4060.115
2.16190,4055.560
2.23397,4140.208
2.30603,4241.180
2.37810,4315.756
2.45016,4315.217
2.52222,4157.957
2.59429,4083.211
2.66635,3753.165
2.73841,3807.555
2.81048,4045.582
2.88254,4038.818
2.95460,4159.285
3.02667,4286.026
3.09873,4483.036
3.17079,4524.291
3.24286,4525.687
3.31492,4557.959
3.38698,4411.629
3.45905,4280.401
3.53111,4098.067
3.60317,4151.129
3.67524,4192.354
3.74730,4339.949
3.81937,4543.590
3.89143,4657.860
3.96349,4540.273
4.03556,4426.594
4.10762,4187.253
4.17968,4126.167
4.25175,3980.406
4.32381,4344.267
4.39587,4882.877
4.46794,5280.454
4.54000,5555.981
4.61206,5641.292
4.68413,5752.485
4.75619,5531.175
4.82825,5705.215
4.90032,5924.778
4.97238,6112.170
5.04444,6590.475
5.11651,6825.485
5.18857,6861.010
5.26063,6946.597
5.33270,7009.263
5.40476,6967.859
5.47683,6774.504
5.54889,6782.373
5.62095,6358.111
5.69302,6129.687
5.76508,5881.032
5.83714,5762.947
5.90921,5750.200
5.98127,5954.800
6.05333,6284.772
6.12540,6457.035
6.19746,6537.721
6.26952,6311.459
6.34159,5989.743
6.41365,5316.414
6.48571,4788.377
6.55778,4524.075
6.62984,4325.111
6.70190,4323.639
6.77397,4384.956
6.84603,4473.177
6.91810,4602.898
6.99016,4755.194
7.06222,4954.409
7.13429,5155.029
7.20635,5498.235
7.27841,5839.729
7.35048,6120.000
7.42254,6290.960
7.49460,6618.425
7.56667,6742.034
7.63873,6530.063
7.71079,6369.463
7.78286,6084.814
7.85492,5851.257
7.92698,5567.635
7.99905,5372.737
8.07111,5355.545
8.14317,5233.573
8.21524,5206.919
8.28730,5308.280
8.35937,5502.560
8.43143,5549.240
8.50349,5829.200
8.57556,5716.960
8.64762,5197.280
8.71968,4791.040
8.79175,4265.560
8.86381,3507.520
