X,Y
0.00000,3031.000
0.07206,3252.596
0.14413,3465.230
0.21619,3533.792
0.28825,3683.302
0.36032,3766.910
0.43238,3747.225
0.50444,3660.297
0.57651,3666.657
0.64857,3577.030
0.72063,3725.871
0.79270,3803.845
0.86476,3994.765
0.93683,4106.796
1.00889,4162.315
1.08095,4269.180
1.15302,4450.816
1.22508,4460.458
1.29714,4326.107
1.36921,4352.863
1.44127,4494.056
1.51333,4433.446
1.58540,4464.246
1.65746,4689.971
1.72952,4806.545
1.80159,4781.519
1.87365,4958.029
1.94571,5064.402
2.01778,5086.771
2.08984,5102.031
2.16190,5295.429
2.23397,5334.002
2.30603,5510.674
2.37810,5819.045
2.45016,6026.269
2.52222,6431.091
2.59429,6341.079
2.66635,6298.005
2.73841,5948.282
2.81048,5590.133
2.88254,5355.177
2.95460,5282.323
3.02667,5030.679
3.09873,4896.950
3.17079,4762.769
3.24286,4650.818
3.31492,4445.232
3.38698,4159.960
3.45905,4011.636
3.53111,3670.414
3.60317,3394.425
3.67524,3255.598
3.74730,3272.409
3.81937,3356.964
3.89143,3267.407
3.96349,3157.649
4.03556,3100.425
