X,Y
0.00000,2181.000
0.07206,2461.930
0.14413,2671.446
0.21619,2979.560
0.28825,3174.220
0.36032,3352.734
0.43238,3364.463
0.50444,3386.031
0.57651,3669.661
0.64857,3753.029
0.72063,3708.810
0.79270,3885.757
0.86476,3764.738
0.93683,3505.499
1.00889,3541.826
1.08095,3357.833
1.15302,3274.912
1.22508,3249.073
1.29714,3252.444
1.36921,3374.788
1.44127,3649.732
1.51333,3933.869
1.58540,3767.340
1.65746,3786.240
1.72952,3987.840
1.80159,4002.900
1.87365,3868.980
1.94571,3858.960
2.01778,3464.300
2.08984,3303.420
2.16190,3133.220
2.23397,3015.680
2.30603,2846.800
2.37810,2737.140
2.45016,2749.200
2.52222,2757.220
2.59429,2605.680
