X,Y
0.00000,1380.000
0.07206,1563.060
0.14413,1779.396
0.21619,1774.598
0.28825,1946.163
0.36032,1871.226
0.43238,1901.326
0.50444,1913.345
0.57651,1973.913
0.64857,2128.323
0.72063,2197.188
0.79270,2195.320
0.86476,2144.324
0.93683,2018.770
1.00889,1895.380
1.08095,2068.369
1.15302,2315.618
1.22508,2386.157
1.29714,2398.396
1.36921,2488.546
1.44127,2475.084
1.51333,2504.095
1.58540,2446.403
1.65746,2490.851
1.72952,2328.393
1.80159,2321.216
1.87365,2306.424
1.94571,2227.535
2.01778,2239.514
2.08984,2212.658
2.16190,2322.860
2.23397,2450.862
2.30603,2442.039
2.37810,2472.574
2.45016,2570.469
2.52222,2355.560
2.59429,2406.064
2.66635,2453.746
2.73841,2618.538
2.81048,2783.612
2.88254,2807.011
2.95460,3004.229
3.02667,2859.983
3.09873,2744.740
3.17079,2646.230
