X,Y
0.00000,1333.000
0.07206,1521.722
0.14413,1635.873
0.21619,1766.267
0.28825,1851.016
0.36032,1940.582
0.43238,1978.752
0.50444,2056.854
0.57651,1982.444
0.64857,2048.057
0.72063,2060.563
0.79270,2180.650
0.86476,2243.808
0.93683,2172.555
1.00889,2377.706
1.08095,2484.645
1.15302,2535.401
1.22508,2629.955
1.29714,2760.078
1.36921,2846.958
1.44127,2805.454
1.51333,2874.997
1.58540,2786.206
1.65746,2699.529
1.72952,2815.452
1.80159,2823.329
1.87365,2897.524
1.94571,2844.223
2.01778,2726.142
2.08984,2683.427
2.16190,2765.463
2.23397,2763.137
2.30603,2813.876
2.37810,2940.587
2.45016,2844.467
2.52222,2908.554
2.59429,2871.708
2.66635,2967.696
2.73841,3145.434
2.81048,3135.564
2.88254,3107.094
2.95460,3059.322
3.02667,3160.449
3.09873,3148.719
3.17079,3236.847
